Date,Time(UTC),Symbol,Side,Entry,Exit,PnL,Reason,Mode,OrderID
2026-06-11,11:11:56,ZROUSDT,short,0.829,0.907,-2.9007,止損,LIVE,3641446560414044160
2026-06-11,12:09:24,KSMUSDT,short,3.471,3.683,-3.8502,止損,LIVE,3643693707737960448
2026-06-13,08:30:55,PENDLEUSDT,short,1.229,1.3155128205128205,-2.9863,止損,LIVE,3641446706711367680
2026-06-16,20:01:06,LITUSDT,long,1.7935,,,開倉,LIVE,3662052386260344832
2026-06-18,16:01:26,PENGUUSDT,short,0.0065,,,開倉,LIVE,3667368074613055488
2026-06-18,16:01:27,AUSDT,short,0.0676,,,開倉,LIVE,3667368120582627328
2026-06-18,16:01:29,DOODUSDT,short,0.001441,,,開倉,LIVE,3667368203495628800
2026-06-18,16:01:32,BIGTIMEUSDT,short,0.008313,,,開倉,LIVE,3667368287918579712
2026-06-18,16:01:35,DOGEUSDT,short,0.08201,,,開倉,LIVE,3667368388279885824
2026-06-22,00:00:58,ZECUSDT,short,434.65,,,開倉,LIVE,3677030845629816832
2026-06-22,00:01:01,NEOUSDT,short,2.131,,,開倉,LIVE,3677030926361780224
2026-06-24,22:01:05,KITEUSDT,short,0.147,,,開倉,LIVE,3685486773215649792
2026-06-24,22:15:55,AUCTIONUSDT,short,3.314,,,開倉,LIVE,3685516656088145920
2026-06-30,12:01:11,BATUSDT,short,0.08067,,,開倉,LIVE,3701673635726712832
2026-07-02,12:01:11,WIFUSDT,long,0.1796,,,開倉,LIVE,3707471840938778624
2026-07-02,12:01:15,SOLUSDT,long,82.4,,,開倉,LIVE,3707471990356664320
2026-07-04,12:01:06,ETCUSDT,long,7.338,,,開倉,LIVE,3713269884720472064
2026-07-04,12:01:21,ARUSDT,long,2.096,,,開倉,LIVE,3713270371897270272
2026-07-05,08:01:09,BCHUSDT,long,240.9,,,開倉,LIVE,3715685911500644352
2026-07-05,16:01:12,TRXUSDT,long,0.32928,,,開倉,LIVE,3716652377960046592
2026-07-10,12:01:20,FILUSDT,long,0.8129,,,開倉,LIVE,3730664968474550272
2026-07-11,16:01:10,ARBUSDT,long,0.09742,,,開倉,LIVE,3734046914105794560
2026-07-13,08:01:23,EGLDUSDT,long,3.135,,,開倉,LIVE,3738879199292383232
2026-07-15,16:01:20,ETHUSDT,long,1931.85,,,開倉,LIVE,3745643668932616192
2026-07-15,20:01:13,LDOUSDT,long,0.351,,,開倉,LIVE,3746126609886437376
2026-06-18,02:15:57,LITUSDT,long,1.7935,1.650100,-2.80,止損,LIVE,3662052386260344832
2026-06-19,11:15:19,DOODUSDT,short,0.001441,0.001568,-2.98,止損,LIVE,3667368203495628800
2026-06-24,22:00:32,NEOUSDT,short,2.131,2.031000,2.57,止盈,LIVE,3677030926361780224
2026-06-24,22:02:52,DOGEUSDT,short,0.08201,0.076440,2.87,止盈,LIVE,3667368388279885824
2026-06-27,14:59:55,PENGUUSDT,short,0.0065,0.006503,0.01,止盈,LIVE,3667368074613055488
2026-07-01,21:33:56,BATUSDT,short,0.08067,0.080745,-0.43,止損,LIVE,3701673635726712832
2026-07-02,11:11:22,ZECUSDT,short,434.65,434.858000,-0.04,止損,LIVE,3677030845629816832
2026-07-03,11:14:16,AUCTIONUSDT,short,3.314,3.316000,1.03,止盈,LIVE,3685516656088145920
2026-07-03,20:17:11,AUSDT,short,0.0676,0.067662,0.00,止盈,LIVE,3667368120582627328
2026-07-05,07:01:14,ETCUSDT,long,7.338,7.030000,-3.24,止損,LIVE,3713269884720472064
2026-07-05,10:01:56,ARUSDT,long,2.096,1.991000,-3.25,止損,LIVE,3713270371897270272
2026-07-08,02:00:43,WIFUSDT,long,0.1796,0.159600,-3.37,止損,LIVE,3707471840938778624
2026-07-09,00:01:19,SOLUSDT,long,82.4,77.760000,-1.39,止損,LIVE,3707471990356664320
2026-07-09,00:01:22,BCHUSDT,long,240.9,235.000000,-1.09,止損,LIVE,3715685911500644352
2026-07-09,00:01:25,TRXUSDT,long,0.32928,0.328210,-0.65,止損,LIVE,3716652377960046592
2026-07-13,03:07:19,FILUSDT,long,0.8129,0.759800,-2.86,止損,LIVE,3730664968474550272
2026-07-13,17:36:56,ARBUSDT,long,0.09742,0.089850,-3.07,止損,LIVE,3734046914105794560
2026-07-14,13:09:12,EGLDUSDT,long,3.135,3.441000,3.62,止盈,LIVE,3738879199292383232
2026-07-17,00:01:39,OLUSDT,short,0.005,,,開倉,LIVE,3749509764584529920
2026-07-17,16:01:03,INJUSDT,long,5.098,,,開倉,LIVE,3751441306068148224
2026-07-17,20:15:31,OLUSDT,short,0.005,0.005013,-0.24,止損,LIVE,3749509764584529920
2026-07-19,18:00:47,LDOUSDT,long,0.351,0.351000,-0.10,止損,LIVE,3746126609886437376
2026-07-19,20:15:31,ETHUSDT,long,1931.85,1863.940000,-1.26,止損,LIVE,3745643668932616192
2026-07-19,22:00:46,INJUSDT,long,5.098,5.097000,-0.01,止損,LIVE,3751441306068148224
2026-07-20,08:01:00,ETCUSDT,short,6.803,,,開倉,LIVE,3759172136974639104
2026-07-20,12:00:59,INJUSDT,long,5.298,,,開倉,LIVE,3759655300964769792
2026-07-20,16:15:30,ETCUSDT,short,6.803,6.947042,-1.95,止損,LIVE,3759172136974639104
2026-07-21,04:00:49,CELOUSDT,long,0.0721,,,開倉,LIVE,3761587706642784256
2026-07-21,04:00:51,ETHUSDT,long,1926.72,,,開倉,LIVE,3761587777375526912
2026-07-21,08:00:47,SUIUSDT,long,0.7775,,,開倉,LIVE,3762070815771418624
2026-07-23,18:00:55,SUIUSDT,long,0.7775,0.739200,-2.92,止損,LIVE,3762070815771418624
2026-07-24,00:01:57,XTZUSDT,long,0.2354,,,開倉,LIVE,3769804112156909568
2026-07-25,00:15:25,INJUSDT,long,5.298,5.162000,-1.53,止損,LIVE,3759655300964769792
2026-07-25,00:15:26,CELOUSDT,long,0.0721,0.068290,-2.70,止損,LIVE,3761587706642784256
2026-07-25,00:15:26,ETHUSDT,long,1926.72,1860.370000,-2.28,止損,LIVE,3761587777375526912
2026-07-25,00:15:26,XTZUSDT,long,0.2354,0.227700,-1.86,止損,LIVE,3769804112156909568
2026-07-27,12:00:58,MOVEUSDT,short,0.00916,,,開倉,LIVE,3779948992917102592
2026-07-27,16:00:55,IOTAUSDT,short,0.0329,,,開倉,LIVE,3780432064598990848
2026-07-27,16:00:57,ZKUSDT,short,0.008851,,,開倉,LIVE,3780432126976679936
2026-07-27,16:01:01,BARDUSDT,short,0.113,,,開倉,LIVE,3780432260254883840
2026-07-29,03:15:36,MOVEUSDT,short,0.00916,0.008150,3.31,止盈,LIVE,3779948992917102592
2026-07-29,04:00:58,STRKUSDT,short,0.02757,,,開倉,LIVE,3784780819783704576
