Date,Time(UTC),Symbol,Side,Entry,Exit,PnL,Reason,Mode,OrderID
2026-07-20,08:08:01,SEIUSDT,short,0.04583,,,開倉,PAPER,DONCHIAN-PAPER-1784534881300
2026-07-23,16:01:25,ATOMUSDT,short,1.443,,,開倉,PAPER,DONCHIAN-PAPER-1784822485875
2026-07-23,20:01:08,JUPUSDT,short,0.1867,,,開倉,PAPER,DONCHIAN-PAPER-1784836868999
2026-07-24,04:00:59,STXUSDT,short,0.1485,,,開倉,PAPER,DONCHIAN-PAPER-1784865659383
2026-07-25,00:01:07,ETCUSDT,short,6.564,,,開倉,PAPER,DONCHIAN-PAPER-1784937667776
2026-07-25,12:01:02,RENDERUSDT,short,1.443,,,開倉,PAPER,DONCHIAN-PAPER-1784980862656
2026-07-28,00:00:54,DOTUSDT,short,0.7594,,,開倉,PAPER,DONCHIAN-PAPER-1785196854725
2026-07-28,00:00:55,NEARUSDT,short,1.69,,,開倉,PAPER,DONCHIAN-PAPER-1785196855664
2026-08-05,00:01:05,DOTUSDT,short,0.7594,0.868500,-2.86,止損,PAPER,DONCHIAN-PAPER-1785196854725
2026-08-05,04:00:54,XLMUSDT,short,0.16699,,,開倉,PAPER,DONCHIAN-PAPER-1785902454853
2026-08-10,16:00:55,ATOMUSDT,short,1.443,1.405000,0.67,止損,PAPER,DONCHIAN-PAPER-1784822485875
2026-08-11,00:01:04,XRPUSDT,short,1.0123,,,開倉,PAPER,DONCHIAN-PAPER-1786406464583
2026-08-20,00:00:50,ETCUSDT,short,6.564,6.641000,-0.35,止損,PAPER,DONCHIAN-PAPER-1784937667776
2026-08-20,00:00:50,RENDERUSDT,short,1.443,1.369000,1.52,止損,PAPER,DONCHIAN-PAPER-1784980862656
2026-08-20,00:00:51,NEARUSDT,short,1.69,1.745000,-0.40,止損,PAPER,DONCHIAN-PAPER-1785196855664
2026-08-20,00:00:51,XLMUSDT,short,0.16699,0.170720,-0.38,止損,PAPER,DONCHIAN-PAPER-1785902454853
2026-08-20,00:00:51,XRPUSDT,short,1.0123,1.080200,-1.97,止損,PAPER,DONCHIAN-PAPER-1786406464583
2026-08-20,00:00:52,ETHUSDT,long,2252.67,,,開倉,PAPER,DONCHIAN-PAPER-1787184052627
2026-08-20,00:00:53,BNBUSDT,long,627.8,,,開倉,PAPER,DONCHIAN-PAPER-1787184053025
2026-08-20,00:00:53,SOLUSDT,long,85.4,,,開倉,PAPER,DONCHIAN-PAPER-1787184053410
2026-08-20,00:00:54,DOGEUSDT,long,0.07503,,,開倉,PAPER,DONCHIAN-PAPER-1787184054205
2026-08-20,00:00:54,LINKUSDT,long,10.556,,,開倉,PAPER,DONCHIAN-PAPER-1787184054794
2026-08-20,12:00:49,SEIUSDT,short,0.04583,0.042250,1.87,止損,PAPER,DONCHIAN-PAPER-1784534881300
2026-08-20,12:00:49,JUPUSDT,short,0.1867,0.190600,-0.35,止損,PAPER,DONCHIAN-PAPER-1784836868999
2026-08-20,12:00:50,STXUSDT,short,0.1485,0.135800,1.27,止損,PAPER,DONCHIAN-PAPER-1784865659383
2026-08-20,12:00:52,BTCUSDT,long,71923.8,,,開倉,PAPER,DONCHIAN-PAPER-1787227252462
2026-08-20,12:00:57,ENAUSDT,long,0.10039,,,開倉,PAPER,DONCHIAN-PAPER-1787227257408
2026-08-20,16:00:52,AVAXUSDT,long,7.056,,,開倉,PAPER,DONCHIAN-PAPER-1787241652793
2026-08-22,04:00:44,DOGEUSDT,long,0.07503,0.095400,8.93,止盈,PAPER,DONCHIAN-PAPER-1787184054205
2026-08-22,04:00:45,ENAUSDT,long,0.10039,0.157870,8.89,止盈,PAPER,DONCHIAN-PAPER-1787227257408
2026-08-22,04:00:46,LTCUSDT,long,54.25,,,開倉,PAPER,DONCHIAN-PAPER-1787371246947
2026-08-22,04:00:47,ATOMUSDT,long,1.637,,,開倉,PAPER,DONCHIAN-PAPER-1787371247587
