Date,Time (UTC),Exchange,Symbol,Side,Quantity,Price,Total USD,Fee (est.),Net Amount,Order ID,Mode,Notes
2026-04-27,05:00:00,OKX,TRUMPUSDT,SELL,39.062500,2.5600,100.00,0.1000,99.9000,K-PAPER-BF-1777266000000,PAPER,"進場: Keltner突破 short | SL$2.6041"
2026-04-27,07:00:00,OKX,TRUMPUSDT,BUY,39.062500,2.5550,100.00,0.1000,0.1953,EXIT-BF-1777273200000,PAPER,"出場: 突破失效（收回通道） | P&L: $0.1953"
2026-04-27,15:00:00,OKX,TRUMPUSDT,SELL,39.968026,2.5020,100.00,0.1000,99.9000,K-PAPER-BF-1777302000000,PAPER,"進場: Keltner突破 short | SL$2.5649"
2026-04-27,16:00:00,OKX,TRUMPUSDT,BUY,39.968026,2.5080,100.00,0.1000,-0.2398,EXIT-BF-1777305600000,PAPER,"出場: 突破失效（收回通道） | P&L: $-0.2398"
2026-04-27,15:00:00,OKX,SOLUSDT,SELL,1.188072,84.1700,100.00,0.1000,99.9000,K-PAPER-BF-1777302000000,PAPER,"進場: Keltner突破 short | SL$85.5789"
2026-04-27,00:00:00,OKX,ETHUSDT,BUY,0.041828,2390.7600,100.00,0.1000,99.9000,K-PAPER-BF-1777248000000,PAPER,"進場: Keltner突破 long | SL$2351.7593"
2026-04-27,02:00:00,OKX,ETHUSDT,SELL,0.041828,2392.1600,100.00,0.1000,0.0586,EXIT-BF-1777255200000,PAPER,"出場: 突破失效（收回通道） | P&L: $0.0586"
2026-04-27,15:00:00,OKX,ETHUSDT,SELL,0.043955,2275.0700,100.00,0.1000,99.9000,K-PAPER-BF-1777302000000,PAPER,"進場: Keltner突破 short | SL$2324.1589"
2026-04-27,17:00:00,OKX,ETHUSDT,BUY,0.043955,2287.0800,100.00,0.1000,-0.5279,EXIT-BF-1777309200000,PAPER,"出場: 突破失效（收回通道） | P&L: $-0.5279"
2026-04-27,15:00:00,OKX,XRPUSDT,SELL,72.035730,1.3882,100.00,0.1000,99.9000,K-PAPER-BF-1777302000000,PAPER,"進場: Keltner突破 short | SL$1.4085"
2026-04-27,15:00:00,OKX,ORDIUSDT,SELL,24.050024,4.1580,100.00,0.1000,99.9000,K-PAPER-BF-1777302000000,PAPER,"進場: Keltner突破 short | SL$4.3072"
2026-04-27,15:00:00,OKX,FILUSDT,SELL,110.253583,0.9070,100.00,0.1000,99.9000,K-PAPER-BF-1777302000000,PAPER,"進場: Keltner突破 short | SL$0.9286"
